observed_at,target,dew_point_c
2025-03-01T12:30:00Z,7.020,3.682
2025-03-01T12:45:00Z,6.754,3.034
2025-03-01T13:00:00Z,6.835,2.749
2025-03-01T13:15:00Z,7.147,3.177
2025-03-01T13:30:00Z,6.951,2.893
2025-03-01T13:45:00Z,7.138,3.011
2025-03-01T14:00:00Z,6.670,2.468
2025-03-01T14:15:00Z,6.804,2.845
2025-03-01T14:30:00Z,6.871,2.904
2025-03-01T14:45:00Z,6.867,
2025-03-01T15:00:00Z,7.329,3.108
2025-03-01T15:15:00Z,6.845,2.996
2025-03-01T15:30:00Z,6.859,3.216
2025-03-01T15:45:00Z,7.238,3.536
2025-03-01T16:00:00Z,7.797,4.301
2025-03-01T16:15:00Z,7.432,3.493
2025-03-01T16:30:00Z,7.534,3.708
2025-03-01T16:45:00Z,7.953,4.363
2025-03-01T17:00:00Z,7.848,4.596
2025-03-01T17:15:00Z,8.433,5.182
2025-03-01T17:30:00Z,8.768,
2025-03-01T17:45:00Z,9.099,5.612
2025-03-01T18:00:00Z,9.118,5.724
2025-03-01T18:15:00Z,9.469,6.395
2025-03-01T18:30:00Z,9.802,6.883
2025-03-01T18:45:00Z,10.379,7.371
2025-03-01T19:00:00Z,10.135,6.743
2025-03-01T19:15:00Z,10.916,8.051
2025-03-01T19:30:00Z,10.585,7.840
2025-03-01T19:45:00Z,11.257,8.008
2025-03-01T20:00:00Z,11.410,8.578
2025-03-01T20:15:00Z,11.369,
2025-03-01T20:30:00Z,11.874,9.128
2025-03-01T20:45:00Z,11.873,9.078
2025-03-01T21:00:00Z,12.481,10.002
2025-03-01T21:15:00Z,12.783,10.207
2025-03-01T21:30:00Z,12.953,10.029
2025-03-01T21:45:00Z,12.889,10.443
2025-03-01T22:00:00Z,12.865,10.059
2025-03-01T22:15:00Z,13.466,10.448
2025-03-01T22:30:00Z,13.089,10.435
2025-03-01T22:45:00Z,13.222,10.855
2025-03-01T23:00:00Z,13.192,
2025-03-01T23:15:00Z,13.621,10.903
2025-03-01T23:30:00Z,13.847,11.230
2025-03-01T23:45:00Z,13.566,10.977
2025-03-02T00:00:00Z,13.476,11.127
2025-03-02T00:15:00Z,13.280,10.620
2025-03-02T00:30:00Z,13.279,10.616
2025-03-02T00:45:00Z,13.406,11.027
