observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-02T17:00:00Z,15.679,3.667,12.792,10.835
2025-03-02T17:15:00Z,15.943,4.448,13.321,10.786
2025-03-02T17:30:00Z,15.712,4.126,13.137,10.420
2025-03-02T17:45:00Z,16.149,3.783,13.353,11.438
2025-03-02T18:00:00Z,15.747,4.012,12.916,10.510
2025-03-02T18:15:00Z,16.133,4.257,13.182,
2025-03-02T18:30:00Z,16.194,4.544,13.552,11.346
2025-03-02T18:45:00Z,15.921,4.477,13.037,10.896
2025-03-02T19:00:00Z,15.881,4.732,13.304,10.923
2025-03-02T19:15:00Z,15.924,4.706,13.158,11.141
2025-03-02T19:30:00Z,15.871,4.359,13.005,11.090
2025-03-02T19:45:00Z,15.581,4.817,12.796,10.750
2025-03-02T20:00:00Z,15.276,5.120,12.721,10.290
2025-03-02T20:15:00Z,15.524,4.877,12.930,10.596
2025-03-02T20:30:00Z,15.154,4.988,12.657,10.340
2025-03-02T20:45:00Z,14.760,4.728,12.218,9.754
2025-03-02T21:00:00Z,14.326,5.063,12.002,
2025-03-02T21:15:00Z,14.442,4.969,12.198,9.163
2025-03-02T21:30:00Z,14.347,5.315,12.140,9.466
2025-03-02T21:45:00Z,13.961,5.191,11.511,9.071
2025-03-02T22:00:00Z,13.466,6.028,11.542,8.347
2025-03-02T22:15:00Z,13.415,5.524,11.121,8.243
2025-03-02T22:30:00Z,12.729,5.754,10.849,7.485
2025-03-02T22:45:00Z,12.354,5.999,10.604,7.577
2025-03-02T23:00:00Z,12.310,6.106,10.373,7.027
2025-03-02T23:15:00Z,12.104,6.437,10.491,6.931
2025-03-02T23:30:00Z,11.392,5.995,9.698,6.664
2025-03-02T23:45:00Z,11.145,6.283,9.408,
2025-03-03T00:00:00Z,10.557,6.509,9.123,5.357
2025-03-03T00:15:00Z,10.340,6.699,8.755,5.427
2025-03-03T00:30:00Z,9.965,6.928,8.482,5.163
2025-03-03T00:45:00Z,9.987,6.699,8.741,4.926
2025-03-03T01:00:00Z,9.809,7.295,8.760,5.095
2025-03-03T01:15:00Z,9.187,7.475,8.272,4.279
2025-03-03T01:30:00Z,9.012,7.415,8.048,3.894
2025-03-03T01:45:00Z,9.075,7.034,8.075,3.837
2025-03-03T02:00:00Z,8.760,7.518,7.704,3.493
2025-03-03T02:15:00Z,8.738,7.147,7.874,3.917
2025-03-03T02:30:00Z,8.147,7.805,7.246,
2025-03-03T02:45:00Z,8.343,7.298,7.383,3.501
2025-03-03T03:00:00Z,8.205,7.318,7.109,3.008
