timestamp,value
2024-01-03T06:00:00Z,25.108000
2024-01-03T06:15:00Z,25.097795
2024-01-03T06:30:00Z,25.066224
2024-01-03T06:45:00Z,25.013426
2024-01-03T07:00:00Z,24.939629
2024-01-03T07:15:00Z,24.845151
2024-01-03T07:30:00Z,24.730398
2024-01-03T07:45:00Z,24.595864
2024-01-03T08:00:00Z,24.442127
2024-01-03T08:15:00Z,24.269848
2024-01-03T08:30:00Z,24.079767
2024-01-03T08:45:00Z,23.872699
2024-01-03T09:00:00Z,23.649534
2024-01-03T09:15:00Z,23.411229
2024-01-03T09:30:00Z,23.158807
2024-01-03T09:45:00Z,22.893351
2024-01-03T10:00:00Z,22.616000
2024-01-03T10:15:00Z,22.327943
2024-01-03T10:30:00Z,22.030417
2024-01-03T10:45:00Z,21.724697
2024-01-03T11:00:00Z,21.412095
2024-01-03T11:15:00Z,21.093952
2024-01-03T11:30:00Z,20.771631
2024-01-03T11:45:00Z,20.446516
