observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-02T00:00:00Z,15.721,7.374,13.454,10.863
2025-03-02T00:15:00Z,15.854,7.707,13.257,11.064
2025-03-02T00:30:00Z,16.094,7.908,13.642,10.888
2025-03-02T00:45:00Z,15.529,7.560,13.126,10.564
2025-03-02T01:00:00Z,15.277,8.151,12.854,10.214
2025-03-02T01:15:00Z,15.525,8.143,13.304,10.296
2025-03-02T01:30:00Z,15.430,8.075,13.209,10.431
2025-03-02T01:45:00Z,15.103,7.977,12.858,
2025-03-02T02:00:00Z,14.845,7.928,12.739,10.019
2025-03-02T02:15:00Z,14.600,7.902,12.453,9.713
2025-03-02T02:30:00Z,14.126,8.218,11.964,9.001
2025-03-02T02:45:00Z,13.745,8.067,11.850,8.941
2025-03-02T03:00:00Z,13.398,8.128,11.637,8.630
2025-03-02T03:15:00Z,13.046,8.174,11.449,8.103
2025-03-02T03:30:00Z,13.219,7.975,11.344,8.175
2025-03-02T03:45:00Z,12.668,7.632,11.017,7.615
2025-03-02T04:00:00Z,12.200,7.860,10.610,7.013
2025-03-02T04:15:00Z,12.196,7.732,10.397,7.038
2025-03-02T04:30:00Z,11.520,8.008,9.880,
2025-03-02T04:45:00Z,11.210,7.646,9.734,6.230
2025-03-02T05:00:00Z,10.783,7.510,9.560,5.961
2025-03-02T05:15:00Z,10.546,7.304,9.290,5.554
2025-03-02T05:30:00Z,10.596,7.192,9.392,5.770
2025-03-02T05:45:00Z,10.217,7.567,8.889,5.088
2025-03-02T06:00:00Z,9.860,7.392,8.601,4.729
2025-03-02T06:15:00Z,9.413,7.527,8.240,4.595
2025-03-02T06:30:00Z,9.275,7.131,8.194,4.187
2025-03-02T06:45:00Z,8.998,7.461,7.901,3.807
2025-03-02T07:00:00Z,8.890,6.829,7.738,3.672
2025-03-02T07:15:00Z,8.852,6.765,7.664,
2025-03-02T07:30:00Z,8.334,6.890,7.300,3.546
2025-03-02T07:45:00Z,8.566,7.136,7.675,3.756
2025-03-02T08:00:00Z,8.378,6.534,7.424,3.492
2025-03-02T08:15:00Z,8.139,6.495,7.120,2.949
2025-03-02T08:30:00Z,7.803,6.772,6.909,2.613
2025-03-02T08:45:00Z,7.981,6.214,7.067,2.958
2025-03-02T09:00:00Z,8.175,6.195,7.334,3.105
2025-03-02T09:15:00Z,8.243,6.258,7.252,3.124
