observed_at,target,dew_point_c
2025-03-02T00:00:00Z,13.763,11.143
2025-03-02T00:15:00Z,13.284,10.765
2025-03-02T00:30:00Z,13.186,10.748
2025-03-02T00:45:00Z,13.109,10.669
2025-03-02T01:00:00Z,13.414,10.949
2025-03-02T01:15:00Z,13.019,10.140
2025-03-02T01:30:00Z,12.712,10.218
2025-03-02T01:45:00Z,12.496,
2025-03-02T02:00:00Z,12.464,9.996
2025-03-02T02:15:00Z,12.670,9.722
2025-03-02T02:30:00Z,12.315,9.636
2025-03-02T02:45:00Z,12.279,8.857
2025-03-02T03:00:00Z,11.762,8.284
2025-03-02T03:15:00Z,11.222,8.227
2025-03-02T03:30:00Z,10.975,7.705
2025-03-02T03:45:00Z,10.829,7.573
2025-03-02T04:00:00Z,10.684,7.531
2025-03-02T04:15:00Z,10.341,7.025
2025-03-02T04:30:00Z,9.866,
2025-03-02T04:45:00Z,9.498,6.111
2025-03-02T05:00:00Z,9.832,6.202
2025-03-02T05:15:00Z,9.554,5.563
2025-03-02T05:30:00Z,8.964,4.835
2025-03-02T05:45:00Z,8.651,5.132
2025-03-02T06:00:00Z,8.581,4.735
2025-03-02T06:15:00Z,8.448,4.758
2025-03-02T06:30:00Z,7.784,4.046
2025-03-02T06:45:00Z,8.177,4.257
2025-03-02T07:00:00Z,7.599,3.668
2025-03-02T07:15:00Z,7.303,
2025-03-02T07:30:00Z,7.332,3.220
2025-03-02T07:45:00Z,7.508,3.704
2025-03-02T08:00:00Z,7.281,3.205
2025-03-02T08:15:00Z,7.101,3.312
2025-03-02T08:30:00Z,7.395,3.049
2025-03-02T08:45:00Z,7.294,3.298
2025-03-02T09:00:00Z,7.311,3.504
2025-03-02T09:15:00Z,6.848,2.711
2025-03-02T09:30:00Z,7.040,3.070
2025-03-02T09:45:00Z,6.800,2.652
2025-03-02T10:00:00Z,6.893,
2025-03-02T10:15:00Z,7.229,3.714
2025-03-02T10:30:00Z,7.265,3.555
2025-03-02T10:45:00Z,7.304,3.547
2025-03-02T11:00:00Z,7.808,4.210
2025-03-02T11:15:00Z,7.561,3.928
2025-03-02T11:30:00Z,8.056,4.289
2025-03-02T11:45:00Z,7.741,4.222
2025-03-02T12:00:00Z,8.399,5.118
2025-03-02T12:15:00Z,8.483,5.132
2025-03-02T12:30:00Z,8.901,5.197
2025-03-02T12:45:00Z,9.285,
2025-03-02T13:00:00Z,9.485,6.468
2025-03-02T13:15:00Z,9.691,6.338
2025-03-02T13:30:00Z,10.029,6.843
2025-03-02T13:45:00Z,9.869,6.952
2025-03-02T14:00:00Z,10.134,7.241
2025-03-02T14:15:00Z,10.669,7.330
2025-03-02T14:30:00Z,10.798,7.893
2025-03-02T14:45:00Z,11.022,8.372
2025-03-02T15:00:00Z,11.393,8.411
2025-03-02T15:15:00Z,11.716,9.114
2025-03-02T15:30:00Z,11.879,
2025-03-02T15:45:00Z,11.881,9.709
2025-03-02T16:00:00Z,12.104,9.993
2025-03-02T16:15:00Z,12.197,9.987
2025-03-02T16:30:00Z,12.264,10.004
2025-03-02T16:45:00Z,13.079,10.901
2025-03-02T17:00:00Z,13.074,10.979
2025-03-02T17:15:00Z,13.253,11.101
2025-03-02T17:30:00Z,13.050,10.464
2025-03-02T17:45:00Z,13.330,11.411
2025-03-02T18:00:00Z,13.389,11.333
2025-03-02T18:15:00Z,13.589,
2025-03-02T18:30:00Z,13.555,11.119
2025-03-02T18:45:00Z,13.270,11.461
2025-03-02T19:00:00Z,12.985,10.730
2025-03-02T19:15:00Z,13.054,10.911
2025-03-02T19:30:00Z,13.097,10.839
2025-03-02T19:45:00Z,12.972,10.216
2025-03-02T20:00:00Z,12.920,10.239
2025-03-02T20:15:00Z,12.682,10.545
2025-03-02T20:30:00Z,12.482,10.131
2025-03-02T20:45:00Z,12.793,10.280
2025-03-02T21:00:00Z,12.524,
2025-03-02T21:15:00Z,11.889,9.014
2025-03-02T21:30:00Z,12.060,9.273
2025-03-02T21:45:00Z,11.607,8.375
2025-03-02T22:00:00Z,11.224,8.223
2025-03-02T22:15:00Z,10.938,7.846
2025-03-02T22:30:00Z,10.665,7.702
2025-03-02T22:45:00Z,10.337,7.083
2025-03-02T23:00:00Z,10.182,7.216
2025-03-02T23:15:00Z,10.226,7.267
2025-03-02T23:30:00Z,9.795,6.763
2025-03-02T23:45:00Z,9.385,
