observed_at,target,dew_point_c
2025-03-02T01:00:00Z,12.997,10.232
2025-03-02T01:15:00Z,13.347,10.652
2025-03-02T01:30:00Z,12.766,10.123
2025-03-02T01:45:00Z,12.758,
2025-03-02T02:00:00Z,12.489,9.643
2025-03-02T02:15:00Z,12.145,9.220
2025-03-02T02:30:00Z,12.199,9.122
2025-03-02T02:45:00Z,11.804,8.935
2025-03-02T03:00:00Z,11.855,8.574
2025-03-02T03:15:00Z,11.580,8.733
2025-03-02T03:30:00Z,11.190,8.180
2025-03-02T03:45:00Z,11.037,8.234
2025-03-02T04:00:00Z,10.547,7.281
2025-03-02T04:15:00Z,10.542,7.394
2025-03-02T04:30:00Z,10.050,
2025-03-02T04:45:00Z,9.990,6.677
2025-03-02T05:00:00Z,9.684,6.387
2025-03-02T05:15:00Z,9.605,6.030
2025-03-02T05:30:00Z,9.264,5.364
2025-03-02T05:45:00Z,8.740,5.495
2025-03-02T06:00:00Z,8.858,4.795
2025-03-02T06:15:00Z,8.351,4.308
2025-03-02T06:30:00Z,8.050,4.147
2025-03-02T06:45:00Z,7.910,3.991
2025-03-02T07:00:00Z,7.521,4.040
2025-03-02T07:15:00Z,7.897,
2025-03-02T07:30:00Z,7.635,3.481
2025-03-02T07:45:00Z,7.603,3.769
2025-03-02T08:00:00Z,7.506,3.254
2025-03-02T08:15:00Z,6.916,3.112
2025-03-02T08:30:00Z,7.083,3.034
2025-03-02T08:45:00Z,6.839,2.870
2025-03-02T09:00:00Z,7.241,3.097
2025-03-02T09:15:00Z,6.757,2.981
2025-03-02T09:30:00Z,7.166,3.443
2025-03-02T09:45:00Z,7.106,3.006
2025-03-02T10:00:00Z,7.456,
2025-03-02T10:15:00Z,7.168,3.269
2025-03-02T10:30:00Z,7.541,3.645
2025-03-02T10:45:00Z,7.540,3.466
2025-03-02T11:00:00Z,7.411,3.721
2025-03-02T11:15:00Z,7.415,3.576
2025-03-02T11:30:00Z,7.970,4.006
2025-03-02T11:45:00Z,8.164,4.610
2025-03-02T12:00:00Z,8.489,5.433
2025-03-02T12:15:00Z,8.526,4.755
2025-03-02T12:30:00Z,9.056,5.421
2025-03-02T12:45:00Z,8.985,
2025-03-02T13:00:00Z,9.428,6.007
2025-03-02T13:15:00Z,9.476,5.973
