observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-01T10:15:00Z,10.846,4.576,9.058,5.809
2025-03-01T10:30:00Z,10.645,4.600,8.822,5.476
2025-03-01T10:45:00Z,10.109,4.222,8.483,4.864
2025-03-01T11:00:00Z,9.773,4.667,8.424,4.755
2025-03-01T11:15:00Z,9.720,4.262,8.067,4.490
2025-03-01T11:30:00Z,9.269,4.358,7.908,4.265
2025-03-01T11:45:00Z,9.332,3.763,7.663,4.459
2025-03-01T12:00:00Z,8.784,4.054,7.420,
2025-03-01T12:15:00Z,8.693,4.458,7.204,3.797
2025-03-01T12:30:00Z,8.555,3.696,7.037,3.712
2025-03-01T12:45:00Z,8.385,3.691,6.889,3.207
2025-03-01T13:00:00Z,8.208,3.807,7.115,3.417
2025-03-01T13:15:00Z,8.118,4.011,6.727,3.023
2025-03-01T13:30:00Z,8.231,4.176,6.935,3.127
2025-03-01T13:45:00Z,8.115,4.390,6.998,3.210
2025-03-01T14:00:00Z,8.238,3.716,7.137,3.441
2025-03-01T14:15:00Z,8.142,3.889,6.713,3.329
2025-03-01T14:30:00Z,8.108,4.416,6.813,3.319
2025-03-01T14:45:00Z,8.322,4.352,7.284,
2025-03-01T15:00:00Z,7.972,4.306,6.701,3.025
2025-03-01T15:15:00Z,8.133,3.866,6.924,3.159
2025-03-01T15:30:00Z,8.278,3.870,6.835,3.324
2025-03-01T15:45:00Z,8.697,4.401,7.329,3.883
2025-03-01T16:00:00Z,8.810,4.621,7.349,3.616
2025-03-01T16:15:00Z,9.098,4.545,7.926,4.385
2025-03-01T16:30:00Z,9.396,4.278,7.949,4.608
2025-03-01T16:45:00Z,9.445,4.738,8.219,4.578
2025-03-01T17:00:00Z,9.602,5.078,8.001,4.479
2025-03-01T17:15:00Z,10.115,4.664,8.385,4.845
2025-03-01T17:30:00Z,10.185,5.086,8.802,
2025-03-01T17:45:00Z,10.686,4.894,9.204,5.971
2025-03-01T18:00:00Z,10.890,4.982,9.351,6.007
2025-03-01T18:15:00Z,11.217,5.303,9.470,6.338
2025-03-01T18:30:00Z,11.260,5.142,9.606,6.074
2025-03-01T18:45:00Z,11.970,5.195,10.249,7.031
2025-03-01T19:00:00Z,12.316,5.702,10.323,7.355
2025-03-01T19:15:00Z,12.609,5.389,10.711,7.787
2025-03-01T19:30:00Z,13.066,5.699,11.125,8.083
2025-03-01T19:45:00Z,13.480,6.265,11.543,8.241
2025-03-01T20:00:00Z,13.730,5.700,11.718,8.846
2025-03-01T20:15:00Z,13.616,6.167,11.662,
