material,target,defect_flag
brass,1,1
brass,1,1
iron,1,1
brass,1,
steel,1,1
iron,1,0
glass,1,1
brass,1,
cedar,1,1
steel,1,1
glass,1,1
glass,1,0
pine,1,1
brass,1,0
copper,1,0
copper,1,0
brass,1,1
iron,1,0
copper,1,1
copper,1,0
iron,1,0
steel,1,1
copper,1,0
iron,1,0
brass,1,1
brass,1,
brass,1,1
pine,1,1
steel,1,1
cedar,1,1
copper,1,1
steel,1,1
oak,1,1
iron,1,0
oak,1,0
copper,1,0
iron,1,1
brass,1,0
steel,1,0
glass,1,0
oak,1,0
oak,1,0
iron,1,
copper,1,1
iron,1,0
brass,1,1
brass,1,0
copper,1,0
oak,1,0
glass,1,
cedar,1,0
cedar,1,0
cedar,1,1
pine,1,1
copper,1,1
copper,1,0
glass,1,0
glass,1,0
brass,1,0
cedar,1,0
iron,1,0
glass,1,0
oak,1,0
steel,1,
iron,1,0
brass,1,1
iron,1,0
iron,1,1
pine,1,1
cedar,1,0
pine,1,1
cedar,1,
steel,1,0
iron,1,1
brass,1,0
steel,1,0
brass,1,1
pine,1,1
iron,1,0
oak,1,1
steel,1,1
cedar,1,0
steel,1,1
cedar,1,0
glass,1,1
brass,1,0
cedar,1,1
cedar,1,0
brass,1,1
steel,1,1
pine,1,1
steel,1,
brass,1,0
glass,1,0
iron,1,0
brass,1,
pine,1,0
oak,1,1
copper,1,0
steel,1,0
brass,1,
cedar,1,0
glass,1,1
iron,1,1
brass,1,1
steel,1,0
iron,1,0
steel,1,1
brass,1,0
steel,1,1
iron,1,
steel,1,0
cedar,1,0
iron,1,1
steel,1,1
iron,1,
brass,1,1
steel,1,1
oak,1,0
cedar,1,1
pine,1,0
brass,1,0
brass,1,0
cedar,1,0
cedar,1,1
brass,1,0
copper,1,
pine,1,1
brass,1,1
cedar,1,1
steel,1,1
iron,1,1
brass,1,1
cedar,1,0
pine,1,1
oak,1,0
copper,1,1
pine,1,0
brass,1,0
oak,1,0
brass,1,1
iron,1,0
pine,1,0
steel,1,
iron,1,1
pine,1,1
iron,1,1
copper,1,0
copper,1,0
iron,1,1
oak,1,0
steel,1,0
pine,1,1
iron,1,1
pine,1,0
brass,1,0
copper,1,1
iron,1,1
copper,1,0
glass,1,1
brass,1,0
brass,1,0
pine,1,0
brass,1,0
pine,1,1
oak,1,1
glass,1,1
copper,1,1
iron,1,0
oak,1,1
steel,1,
iron,1,0
copper,1,1
pine,1,1
cedar,1,0
steel,1,
cedar,1,1
steel,1,0
brass,1,1
pine,1,0
brass,1,1
steel,1,1
copper,1,1
brass,1,1
cedar,1,1
brass,1,1
oak,1,0
steel,1,1
pine,1,1
copper,1,0
iron,1,1
glass,1,
glass,1,1
glass,1,1
glass,1,0
brass,1,0
brass,1,1
iron,1,0
steel,1,
copper,1,0
brass,1,0
oak,1,0
oak,1,1
brass,1,1
copper,1,
copper,1,0
brass,1,1
brass,1,
oak,1,0
steel,1,1
brass,1,
glass,1,1
brass,1,0
steel,1,0
steel,1,0
iron,1,1
copper,1,0
steel,1,1
brass,1,0
cedar,1,1
cedar,1,0
iron,1,0
cedar,1,0
copper,1,
copper,1,1
cedar,1,0
cedar,1,0
cedar,1,0
oak,1,0
copper,1,1
copper,1,1
iron,1,1
brass,1,1
brass,1,1
brass,1,0
iron,1,1
pine,1,1
oak,1,0
pine,1,1
pine,1,0
brass,1,0
copper,1,1
steel,1,1
iron,1,0
glass,1,0
oak,1,
pine,1,1
oak,1,1
copper,1,0
brass,1,0
iron,1,
steel,1,0
iron,1,0
brass,1,
brass,1,1
iron,1,0
cedar,1,0
oak,1,1
glass,1,0
iron,1,1
glass,1,0
steel,1,1
pine,1,
iron,1,0
brass,1,0
steel,1,1
iron,1,1
steel,1,0
copper,1,1
iron,1,0
iron,1,
iron,1,1
steel,1,1
oak,1,1
steel,1,0
brass,1,1
copper,1,0
pine,1,0
pine,1,1
iron,1,0
oak,1,0
copper,1,0
copper,1,
cedar,1,0
copper,1,1
brass,1,1
glass,1,
iron,1,1
oak,1,1
steel,1,1
steel,1,0
iron,1,
iron,1,0
iron,1,1
copper,1,1
cedar,1,1
oak,1,0
pine,1,1
glass,1,1
iron,1,0
steel,1,1
brass,1,1
copper,1,0
glass,1,1
brass,1,1
steel,1,1
iron,1,1
oak,1,1
steel,1,1
steel,1,1
brass,1,0
brass,1,0
iron,1,1
steel,1,0
cedar,1,1
glass,1,1
brass,1,
cedar,1,0
iron,1,0
brass,1,0
copper,1,0
cedar,1,0
brass,1,0
glass,1,1
copper,1,0
copper,1,0
cedar,1,0
pine,1,
brass,1,1
steel,1,1
steel,1,1
glass,1,1
copper,1,1
iron,1,0
iron,1,0
steel,1,0
iron,1,1
copper,1,0
pine,1,1
oak,1,1
iron,1,1
cedar,1,0
copper,1,1
steel,1,0
oak,1,0
copper,1,0
oak,1,1
iron,1,0
brass,1,1
steel,1,1
oak,1,1
steel,1,1
brass,1,0
copper,1,1
copper,1,0
copper,1,
glass,1,0
oak,1,0
cedar,1,1
steel,1,1
iron,1,1
brass,1,1
copper,1,1
steel,1,1
copper,1,0
cedar,1,1
copper,1,0
copper,1,1
copper,1,1
copper,1,1
brass,1,1
iron,1,1
iron,1,0
steel,1,0
copper,1,1
steel,1,0
cedar,1,
steel,1,0
steel,1,0
brass,1,1
copper,1,
glass,1,0
iron,1,1
steel,1,0
brass,1,1
cedar,1,
iron,1,0
steel,1,1
brass,1,1
copper,1,0
oak,1,1
steel,1,0
brass,1,1
brass,1,1
iron,1,1
steel,1,0
iron,1,
steel,1,1
glass,1,1
copper,1,1
oak,1,1
pine,1,0
iron,1,
oak,1,1
brass,1,0
oak,1,1
oak,1,0
pine,1,0
cedar,1,0
copper,1,0
steel,1,1
brass,1,1
pine,1,1
iron,1,
brass,1,0
steel,1,1
pine,1,1
cedar,1,1
iron,1,1
brass,1,1
copper,1,1
cedar,1,
steel,1,0
glass,1,1
copper,1,1
cedar,1,1
brass,1,0
iron,1,
oak,1,1
brass,1,0
cedar,1,1
oak,1,1
brass,1,1
brass,1,1
copper,1,
iron,1,0
steel,1,1
copper,1,0
steel,1,1
brass,1,0
iron,1,1
glass,1,
brass,1,1
copper,1,1
iron,1,0
brass,1,1
brass,1,0
glass,1,1
cedar,1,1
iron,1,1
brass,1,1
copper,1,1
iron,1,1
oak,1,0
iron,1,0
brass,1,1
copper,1,1
glass,1,1
steel,1,1
pine,1,0
glass,1,0
oak,1,1
