pressure_kpa,humidity_pct,airflow_cmh,target
93.6151,65.1707,8.3460,36.1366
99.3466,64.6953,8.4028,38.0339
104.2985,64.5209,8.4000,39.9850
109.4963,64.3123,8.3683,41.6893
114.8204,64.4421,8.2943,43.1473
90.2020,64.3082,8.2567,34.8704
95.9085,64.4896,8.2194,36.9798
101.0127,64.3489,8.1962,39.0352
106.5609,64.0285,8.2691,40.4679
111.8154,64.0377,8.3101,42.7618
117.7622,63.4511,8.3819,44.9019
92.9533,63.6519,8.4058,35.8659
98.7829,63.4703,8.3700,37.4923
103.5928,63.1594,8.3134,38.9179
109.4800,63.4099,8.2815,41.2861
114.8311,63.2144,8.2305,42.8714
90.2569,62.8010,8.1938,34.1664
95.6469,63.1291,8.2236,36.0816
100.5258,62.8557,8.2770,37.8062
106.5705,62.5185,8.3633,40.2772
111.9233,62.4232,8.3789,42.7213
117.2973,62.4322,8.3803,43.8652
92.5650,62.5062,8.3649,35.7269
97.9704,61.8713,8.3027,37.4450
103.3546,61.8557,8.2370,38.6757
108.6673,62.0738,8.1870,40.8899
113.9506,62.0138,8.2202,42.6543
119.4541,61.7727,8.2706,45.4604
94.6228,61.8416,8.3302,36.0669
100.3539,61.7199,8.3837,37.7313
105.2205,61.3359,8.3934,39.8464
110.8345,61.4221,8.3892,41.6217
116.7835,60.9436,8.3054,44.2539
91.6694,61.1101,8.2636,34.8091
97.3151,60.6436,8.1944,37.0266
102.4530,60.5865,8.1841,38.4039
107.7095,60.5690,8.2379,40.7707
113.4693,60.7281,8.2790,42.2220
118.6227,60.1777,8.3524,44.5286
94.5563,60.2878,8.3989,36.6087
99.3573,60.2907,8.3837,37.5345
104.9483,59.7328,8.3296,39.2623
110.2767,59.6356,8.2842,41.9123
116.1750,59.7744,8.2372,43.7786
91.3732,59.9382,8.2015,34.9736
96.8470,59.6316,8.2041,36.8588
101.9000,59.6356,8.2867,38.5824
107.0959,59.4818,8.3261,40.1778
112.8266,59.3264,8.3919,43.0136
118.4971,59.3019,8.4078,44.8351
