pressure_kpa,humidity_pct,airflow_cmh,target
94.1978,64.6420,8.3697,36.1985
100.1932,64.5855,8.4022,38.4876
105.4588,64.5147,8.4096,39.9616
110.6511,64.4723,8.3672,42.4567
116.1195,64.1376,8.3079,43.7665
91.8959,64.3902,8.2423,34.9072
96.7993,64.1346,8.2202,37.5134
102.4782,64.2993,8.1940,39.2353
107.9059,63.6490,8.2660,41.1973
113.1925,64.0711,8.3399,42.7311
118.6576,63.7347,8.3940,44.2200
94.2584,63.7491,8.4071,36.0809
99.4253,63.1644,8.3630,37.9038
104.6351,63.0884,8.3001,39.3923
110.0039,63.4799,8.2398,41.9575
115.6808,63.3302,8.2217,43.5394
91.1644,62.9716,8.2166,34.9632
96.4543,62.8427,8.2202,37.0544
101.3134,62.7216,8.3149,38.7892
106.7717,62.4954,8.3679,40.8259
112.2153,62.6652,8.3893,42.0617
117.5465,62.2790,8.3930,44.0493
93.4067,62.2876,8.3312,36.2845
98.7364,61.9526,8.2699,38.0729
104.4632,61.9777,8.2447,40.0978
109.5980,61.6110,8.2050,40.8589
114.7158,61.8174,8.2250,43.7473
89.9807,61.6525,8.2889,34.1929
95.4305,61.7880,8.3546,37.0379
100.9350,61.4162,8.3694,38.9051
106.8090,61.5363,8.3869,40.8005
112.0645,61.0522,8.3514,42.0838
117.0441,61.1337,8.2942,43.7107
92.7189,60.8803,8.2429,35.0151
98.2125,61.0806,8.1925,36.9573
103.8149,60.7087,8.2039,39.3282
108.6148,60.8125,8.2623,40.7555
113.9325,60.5849,8.3276,42.5524
120.0106,60.6341,8.3791,45.4420
95.4081,60.3538,8.3832,36.7819
100.3487,60.0828,8.3800,38.0859
105.7829,60.0776,8.3353,39.7829
110.9743,60.1447,8.2653,41.6629
116.4223,59.5793,8.2312,43.2847
92.1755,59.7509,8.2178,35.1283
97.6259,59.5965,8.2362,36.7557
102.7311,59.2020,8.2824,38.9270
108.5468,59.1752,8.3370,41.5475
113.9193,59.1502,8.3968,42.7176
119.0492,59.0825,8.3815,44.4322
