pressure_kpa,humidity_pct,airflow_cmh,target
92.3044,64.9209,8.3207,35.2531
98.2901,64.8228,8.3711,38.0140
103.5656,64.9510,8.4016,39.0426
108.8881,64.6382,8.3553,41.6165
114.0009,64.3556,8.3290,43.0093
119.6855,64.5331,8.2416,45.5340
95.4203,64.3884,8.1885,36.2099
100.2231,64.1137,8.2230,37.8367
105.7526,63.8615,8.2549,40.5110
111.4792,63.5963,8.3164,42.5351
116.3195,63.6555,8.3473,43.5111
91.9276,63.4865,8.4182,35.8082
97.8954,63.7991,8.3716,37.9327
103.1168,63.2792,8.3313,38.6920
108.5191,63.1411,8.2754,40.7673
113.9136,63.2330,8.2205,42.9625
118.7735,63.0550,8.1854,44.5258
94.6569,62.8421,8.2176,36.3061
99.5261,62.6169,8.2731,38.5477
105.0991,62.7425,8.3301,40.4651
110.6563,62.2949,8.3713,41.8776
116.2838,62.5585,8.3942,43.5496
91.4482,62.4621,8.3712,35.1384
96.5109,62.2360,8.3198,36.7386
102.2293,62.1900,8.2574,38.3571
107.9810,62.2386,8.1980,40.7549
113.3835,62.1028,8.1932,43.2669
118.2333,61.6673,8.2338,44.7008
94.1308,61.3887,8.3041,35.8214
99.1505,61.1847,8.3557,37.8300
104.9886,61.0729,8.4060,39.4660
109.8392,61.0660,8.3702,42.0648
115.3135,61.0504,8.3332,43.2655
90.7665,61.0835,8.2537,34.2896
96.6105,60.8066,8.1965,37.1687
101.3940,60.7823,8.1840,38.2329
106.8010,60.8231,8.2086,39.8933
112.5766,60.2789,8.2815,41.9046
117.9494,60.4947,8.3569,44.7205
93.2497,60.2549,8.4095,35.0604
98.6606,59.8988,8.4006,37.9944
104.2931,59.7242,8.3403,39.7575
109.2626,59.9339,8.2972,41.2308
115.1170,59.7685,8.2442,43.6648
90.0479,59.6941,8.1879,34.3107
96.0486,59.3223,8.1988,36.4662
101.4732,59.3326,8.2496,38.0338
106.8373,59.5075,8.3275,39.9774
112.1703,58.9639,8.3931,42.0897
116.9181,59.2873,8.4142,44.3801
