material,finish,region,target,defect_flag
brass,matte,west,1,0
iron,gloss,east,0,1
brass,satin,east,1,1
brass,satin,west,1,0
steel,matte,west,1,0
glass,gloss,east,1,1
copper,satin,west,1,0
cedar,matte,west,0,0
steel,gloss,east,0,
steel,gloss,south,0,0
brass,matte,south,1,0
iron,gloss,south,0,0
cedar,gloss,west,1,0
oak,matte,north,0,1
pine,satin,east,0,1
copper,gloss,east,0,1
iron,satin,north,1,1
cedar,matte,south,0,0
glass,matte,south,0,0
pine,gloss,east,1,
brass,satin,west,1,0
pine,gloss,south,1,0
brass,matte,west,1,0
copper,matte,south,1,0
pine,gloss,south,1,0
glass,satin,west,0,0
iron,gloss,west,0,0
pine,matte,east,0,1
steel,satin,east,1,1
copper,satin,west,1,0
steel,satin,east,1,
oak,gloss,south,1,0
iron,gloss,south,0,0
copper,matte,east,1,1
pine,matte,east,0,1
pine,matte,west,0,0
pine,satin,west,0,0
iron,matte,east,1,1
copper,satin,west,1,0
iron,matte,south,1,0
oak,gloss,north,1,1
brass,satin,west,1,
glass,satin,west,0,0
pine,gloss,south,1,0
steel,gloss,south,0,0
iron,gloss,north,0,1
brass,matte,south,1,0
steel,gloss,west,0,0
iron,satin,south,1,0
oak,matte,west,0,0
pine,matte,north,0,1
pine,matte,east,0,1
copper,matte,south,1,
oak,gloss,north,1,1
oak,satin,west,0,0
copper,matte,north,1,1
glass,satin,west,0,0
brass,gloss,west,0,0
copper,matte,south,1,0
iron,matte,south,1,0
cedar,gloss,south,1,0
copper,matte,east,1,1
brass,gloss,north,0,1
cedar,matte,north,0,
cedar,matte,north,0,1
glass,gloss,north,1,1
brass,matte,south,1,0
oak,gloss,west,1,0
steel,satin,north,1,1
copper,matte,north,1,1
steel,gloss,north,0,1
pine,matte,east,0,1
steel,gloss,south,0,0
cedar,satin,west,0,0
glass,gloss,south,1,
steel,matte,east,1,1
iron,satin,west,1,0
cedar,satin,west,0,0
steel,matte,west,1,0
