material,finish,region,target,defect_flag
steel,matte,east,1,1
pine,satin,south,0,0
steel,satin,south,1,0
brass,matte,east,1,1
brass,satin,west,1,0
copper,gloss,north,0,1
copper,satin,north,1,
cedar,satin,west,0,0
steel,matte,north,1,1
glass,satin,south,0,0
glass,satin,south,0,0
glass,satin,east,0,1
oak,satin,south,0,0
copper,satin,west,1,0
pine,matte,west,0,0
iron,matte,north,1,1
pine,satin,east,0,1
pine,satin,north,0,
iron,satin,east,1,1
pine,matte,south,0,0
brass,matte,south,1,0
glass,matte,west,0,0
pine,gloss,north,1,1
iron,matte,north,1,1
iron,gloss,south,0,0
pine,matte,south,0,0
pine,matte,north,0,1
glass,satin,west,0,0
iron,satin,north,1,
pine,satin,east,0,1
brass,satin,west,1,0
pine,gloss,south,1,0
glass,gloss,north,1,1
brass,satin,east,1,1
oak,gloss,east,1,1
copper,matte,north,1,1
copper,matte,north,1,1
cedar,satin,south,0,0
cedar,satin,north,0,1
pine,gloss,north,1,
steel,matte,west,1,0
brass,matte,east,1,1
oak,matte,south,0,0
pine,matte,east,0,1
cedar,matte,south,0,0
cedar,gloss,west,1,0
oak,satin,west,0,0
brass,gloss,south,0,0
cedar,gloss,east,1,1
oak,matte,east,0,1
steel,satin,south,1,
pine,satin,north,0,1
cedar,satin,north,0,1
copper,gloss,south,0,0
oak,gloss,south,1,0
brass,matte,west,1,0
pine,gloss,north,1,1
steel,gloss,south,0,0
brass,satin,west,1,0
oak,gloss,south,1,0
iron,gloss,north,0,1
steel,matte,south,1,
glass,matte,west,0,0
iron,satin,east,1,1
iron,matte,west,1,0
copper,matte,east,1,1
iron,gloss,north,0,1
pine,satin,north,0,1
brass,gloss,west,0,0
glass,gloss,east,1,1
pine,satin,west,0,0
oak,gloss,north,1,1
brass,gloss,east,0,
steel,satin,north,1,1
cedar,satin,south,0,0
cedar,satin,west,0,0
cedar,satin,south,0,0
cedar,satin,east,0,1
steel,matte,north,1,1
