material,finish,region,target,defect_flag
iron,satin,east,1,1
steel,matte,east,1,1
copper,matte,west,1,0
pine,satin,west,0,0
glass,matte,north,0,1
cedar,gloss,east,1,1
cedar,satin,east,0,1
oak,satin,west,0,0
glass,matte,east,0,1
copper,matte,east,1,
steel,satin,east,1,1
pine,matte,west,0,0
steel,satin,west,1,0
copper,gloss,west,0,0
cedar,satin,east,0,1
cedar,matte,east,0,1
copper,satin,south,1,0
iron,satin,south,1,0
copper,gloss,west,0,0
copper,gloss,north,0,1
brass,matte,west,1,
pine,matte,south,0,0
cedar,satin,east,0,1
brass,satin,west,1,0
oak,satin,east,0,1
oak,gloss,east,1,1
oak,matte,west,0,0
oak,gloss,east,1,1
brass,gloss,east,0,1
iron,gloss,south,0,0
oak,matte,south,0,0
pine,satin,west,0,
pine,gloss,north,1,1
cedar,gloss,east,1,1
steel,gloss,south,0,0
iron,satin,east,1,1
brass,matte,west,1,0
cedar,matte,north,0,1
pine,gloss,east,1,1
pine,matte,south,0,0
oak,satin,west,0,0
cedar,gloss,east,1,1
cedar,gloss,east,1,
steel,gloss,east,0,1
glass,matte,west,0,0
copper,matte,west,1,0
iron,satin,east,1,1
glass,matte,east,0,1
glass,satin,south,0,0
iron,satin,east,1,1
iron,matte,west,1,0
iron,gloss,south,0,0
glass,gloss,west,1,0
glass,matte,north,0,
pine,gloss,west,1,0
oak,satin,west,0,0
pine,gloss,north,1,1
cedar,satin,west,0,0
copper,gloss,north,0,1
steel,matte,south,1,0
cedar,matte,north,0,1
copper,satin,north,1,1
iron,satin,west,1,0
steel,gloss,east,0,1
glass,matte,north,0,
cedar,satin,east,0,1
steel,gloss,west,0,0
glass,gloss,north,1,1
oak,matte,north,0,1
pine,gloss,east,1,1
pine,gloss,east,1,1
steel,matte,east,1,1
copper,gloss,west,0,0
brass,matte,north,1,1
glass,satin,south,0,0
glass,gloss,west,1,
cedar,satin,east,0,1
glass,satin,west,0,0
glass,satin,north,0,1
