observed_at,ambient_c,wind_kph,target
2025-03-01T10:15:00Z,10.933,4.431,9.368
2025-03-01T10:30:00Z,10.429,4.436,8.898
2025-03-01T10:45:00Z,10.432,4.653,8.725
2025-03-01T11:00:00Z,10.068,4.127,8.313
2025-03-01T11:15:00Z,9.682,4.383,8.113
2025-03-01T11:30:00Z,9.483,4.083,8.189
2025-03-01T11:45:00Z,9.476,4.038,8.171
2025-03-01T12:00:00Z,8.854,3.971,7.363
2025-03-01T12:15:00Z,8.791,3.817,7.266
2025-03-01T12:30:00Z,8.506,3.849,7.045
2025-03-01T12:45:00Z,8.154,4.288,7.150
2025-03-01T13:00:00Z,8.164,3.745,7.076
2025-03-01T13:15:00Z,8.265,3.736,6.802
2025-03-01T13:30:00Z,8.364,3.671,7.097
2025-03-01T13:45:00Z,8.233,3.826,6.800
2025-03-01T14:00:00Z,7.809,3.663,6.450
2025-03-01T14:15:00Z,8.039,3.787,6.737
2025-03-01T14:30:00Z,7.779,4.252,6.833
2025-03-01T14:45:00Z,8.196,3.854,6.820
2025-03-01T15:00:00Z,8.024,4.126,6.883
2025-03-01T15:15:00Z,8.496,4.053,7.068
2025-03-01T15:30:00Z,8.132,4.009,7.004
2025-03-01T15:45:00Z,8.795,4.236,7.393
2025-03-01T16:00:00Z,8.660,4.330,7.252
2025-03-01T16:15:00Z,9.104,4.270,7.839
2025-03-01T16:30:00Z,9.472,4.837,7.886
2025-03-01T16:45:00Z,9.626,4.451,8.314
2025-03-01T17:00:00Z,9.682,4.556,8.297
2025-03-01T17:15:00Z,10.040,4.814,8.667
2025-03-01T17:30:00Z,10.440,4.965,8.944
2025-03-01T17:45:00Z,10.413,5.337,8.901
2025-03-01T18:00:00Z,11.038,4.830,9.238
2025-03-01T18:15:00Z,11.109,5.532,9.363
2025-03-01T18:30:00Z,11.817,5.234,10.019
2025-03-01T18:45:00Z,12.154,5.556,10.265
2025-03-01T19:00:00Z,12.468,5.476,10.701
2025-03-01T19:15:00Z,12.700,5.393,10.701
2025-03-01T19:30:00Z,13.119,6.078,11.278
2025-03-01T19:45:00Z,13.106,5.768,11.035
2025-03-01T20:00:00Z,13.554,5.884,11.395
2025-03-01T20:15:00Z,13.884,6.280,11.877
