89.6584	34.7256	21.4278
90.6028	35.5318	20.9757
91.6689	34.7547	21.2197
92.9257	35.9918	21.9685
93.3745	35.9377	nan
94.3104	35.6718	22.2407
95.1740	36.5988	22.4747
96.6623	37.5466	22.1735
97.5782	36.8216	22.6841
97.9760	37.3965	22.5017
99.0784	37.3581	22.7281
99.8167	38.1280	23.0586
100.5973	37.9754	23.0918
101.4995	38.3085	23.6632
102.8468	39.0705	23.9200
103.8468	39.8889	nan
104.0385	39.6339	23.4969
105.2261	39.4813	23.7585
105.9974	40.8994	23.9561
106.8790	40.1049	24.6544
107.6461	41.1426	24.4639
108.9179	41.1704	24.9729
110.1307	41.6799	24.7889
110.8549	42.4357	24.8968
111.5129	42.6638	24.9820
112.3987	42.9104	25.5105
113.7778	42.5793	nan
114.0101	42.8786	25.4341
115.5933	44.0613	25.6214
115.7590	43.7727	25.8540
116.7112	44.3987	25.9991
118.0922	44.0194	26.0873
118.8216	44.2848	26.2421
119.5316	44.6002	26.1374
90.9383	35.5664	21.1712
91.1458	35.6797	21.6553
92.5075	35.8475	21.5111
93.3408	36.3034	nan
94.1654	36.4742	21.6729
95.2384	36.2722	21.7100
96.0031	37.1449	22.0604
97.1004	36.6865	22.7919
97.8360	36.8516	22.1724
98.5209	37.7615	22.7839
99.9484	38.7703	23.2413
100.7895	38.3172	22.7800
101.4161	38.5803	23.1512
101.9512	38.8972	23.2893
103.0849	39.7516	nan
104.4812	39.9283	24.0224
105.1936	40.4712	24.1348
106.0826	40.0078	23.7233
106.7820	40.5417	24.1026
107.7230	40.5272	24.4910
108.2939	41.5278	24.7333
109.1641	41.1601	24.6659
110.6138	41.6065	25.2613
111.5767	41.9166	25.3654
112.5607	42.5870	24.9572
113.4919	43.3430	nan
114.2311	43.0756	25.5658
114.9214	43.2252	25.7801
115.4626	44.0160	25.5495
116.5097	44.1941	26.0963
117.5278	44.1169	26.3775
118.7273	44.7123	26.3796
119.7387	45.1603	26.2700
90.6934	34.9010	21.6435
91.2669	34.9192	21.4684
91.9278	35.3573	21.9472
93.1407	35.4886	nan
93.5912	35.3967	21.5261
94.9000	36.2394	22.2936
95.8474	36.6202	22.0919
96.6262	37.4630	22.2865
97.4457	37.5538	22.4837
98.0038	37.1559	22.7455
99.5319	38.1098	23.0106
100.5790	38.4811	23.0920
100.9704	38.3767	23.4278
102.0440	38.7966	23.4738
102.7731	39.3131	nan
103.5847	38.8390	23.3202
104.3668	40.2615	24.0953
105.6490	40.0021	24.1183
106.2840	40.5830	24.0845
