timestamp,value
2024-01-19T06:00:00Z,25.876000
2024-01-19T06:15:00Z,25.865795
2024-01-19T06:30:00Z,25.834224
2024-01-19T06:45:00Z,25.781426
2024-01-19T07:00:00Z,25.707629
2024-01-19T07:15:00Z,25.613151
2024-01-19T07:30:00Z,25.498398
2024-01-19T07:45:00Z,25.363864
2024-01-19T08:00:00Z,25.210127
2024-01-19T08:15:00Z,25.037848
2024-01-19T08:30:00Z,24.847767
2024-01-19T08:45:00Z,24.640699
2024-01-19T09:00:00Z,24.417534
2024-01-19T09:15:00Z,24.179229
2024-01-19T09:30:00Z,23.926807
2024-01-19T09:45:00Z,23.661351
2024-01-19T10:00:00Z,23.384000
2024-01-19T10:15:00Z,23.095943
2024-01-19T10:30:00Z,22.798417
2024-01-19T10:45:00Z,22.492697
2024-01-19T11:00:00Z,22.180095
2024-01-19T11:15:00Z,21.861952
2024-01-19T11:30:00Z,21.539631
2024-01-19T11:45:00Z,21.214516
