material,finish,region,target,defect_flag
brass,gloss,north,0,1
glass,matte,west,0,0
cedar,matte,west,0,0
oak,satin,south,0,
glass,satin,west,0,0
steel,gloss,east,0,1
cedar,satin,west,0,0
brass,gloss,east,0,1
brass,gloss,south,0,0
oak,satin,east,0,1
cedar,satin,east,0,
pine,matte,north,0,1
pine,matte,south,0,0
oak,matte,south,0,0
pine,satin,east,0,1
copper,gloss,north,0,1
copper,gloss,north,0,1
steel,gloss,north,0,1
steel,gloss,east,0,1
steel,gloss,west,0,0
oak,matte,west,0,0
pine,satin,east,0,1
cedar,matte,north,0,1
oak,satin,west,0,0
cedar,matte,north,0,1
oak,matte,south,0,
steel,gloss,west,0,0
pine,matte,west,0,0
pine,satin,south,0,0
glass,satin,north,0,1
pine,satin,east,0,1
oak,matte,north,0,1
oak,satin,south,0,0
brass,gloss,south,0,0
steel,gloss,north,0,1
pine,matte,west,0,0
steel,gloss,south,0,0
steel,gloss,west,0,0
brass,gloss,east,0,1
brass,gloss,south,0,0
oak,satin,south,0,0
oak,matte,west,0,0
glass,matte,east,0,1
glass,satin,north,0,1
pine,satin,east,0,1
steel,gloss,south,0,0
cedar,matte,south,0,0
iron,gloss,east,0,1
oak,satin,south,0,0
glass,satin,north,0,1
pine,satin,west,0,0
brass,gloss,west,0,0
cedar,matte,north,0,1
brass,gloss,north,0,1
glass,satin,north,0,1
oak,satin,east,0,1
iron,gloss,south,0,0
pine,satin,east,0,1
oak,satin,west,0,
oak,matte,south,0,0
glass,satin,west,0,0
brass,gloss,west,0,0
brass,gloss,east,0,1
steel,gloss,west,0,0
copper,gloss,south,0,0
copper,gloss,north,0,1
oak,satin,south,0,0
pine,satin,west,0,0
oak,satin,west,0,0
glass,matte,south,0,0
copper,gloss,north,0,
iron,gloss,south,0,0
iron,gloss,south,0,0
oak,satin,north,0,1
brass,gloss,north,0,1
cedar,satin,south,0,0
pine,satin,west,0,0
glass,matte,east,0,1
copper,gloss,west,0,0
cedar,matte,south,0,0
cedar,satin,south,0,0
oak,matte,north,0,1
glass,matte,east,0,1
iron,gloss,north,0,1
cedar,satin,south,0,0
pine,satin,east,0,1
cedar,matte,south,0,0
cedar,satin,east,0,1
oak,satin,south,0,0
iron,gloss,north,0,1
brass,gloss,north,0,1
cedar,matte,north,0,1
pine,satin,north,0,1
glass,satin,north,0,1
pine,matte,east,0,
pine,satin,west,0,0
iron,gloss,north,0,1
glass,matte,west,0,0
oak,matte,south,0,0
copper,gloss,north,0,1
oak,satin,south,0,0
cedar,matte,south,0,0
brass,gloss,north,0,1
cedar,matte,west,0,0
pine,matte,south,0,0
steel,gloss,north,0,1
glass,satin,south,0,0
glass,satin,north,0,1
cedar,satin,east,0,1
cedar,matte,west,0,0
pine,matte,south,0,0
pine,matte,east,0,1
oak,matte,west,0,0
iron,gloss,west,0,
brass,gloss,west,0,0
oak,satin,west,0,0
pine,satin,south,0,0
brass,gloss,east,0,1
brass,gloss,east,0,
oak,satin,west,0,0
glass,matte,south,0,0
glass,matte,west,0,0
iron,gloss,east,0,1
cedar,satin,south,0,0
cedar,matte,north,0,1
oak,satin,south,0,0
glass,matte,east,0,1
glass,satin,east,0,1
cedar,satin,west,0,0
cedar,satin,east,0,1
copper,gloss,east,0,1
glass,satin,east,0,1
iron,gloss,south,0,0
oak,matte,west,0,0
brass,gloss,east,0,1
pine,satin,south,0,0
oak,satin,west,0,0
oak,satin,south,0,0
glass,matte,south,0,0
cedar,satin,east,0,1
oak,satin,west,0,0
copper,gloss,east,0,1
pine,satin,north,0,1
oak,satin,east,0,
