timestamp,value
2024-01-11T00:00:00Z,20.480000
2024-01-11T00:15:00Z,20.807516
2024-01-11T00:30:00Z,21.133631
2024-01-11T00:45:00Z,21.456952
2024-01-11T01:00:00Z,21.776095
2024-01-11T01:15:00Z,22.089697
2024-01-11T01:30:00Z,22.396417
2024-01-11T01:45:00Z,22.694943
2024-01-11T02:00:00Z,22.984000
2024-01-11T02:15:00Z,23.262351
2024-01-11T02:30:00Z,23.528807
2024-01-11T02:45:00Z,23.782229
2024-01-11T03:00:00Z,24.021534
2024-01-11T03:15:00Z,24.245699
2024-01-11T03:30:00Z,24.453767
2024-01-11T03:45:00Z,24.644848
2024-01-11T04:00:00Z,24.818127
2024-01-11T04:15:00Z,24.972864
2024-01-11T04:30:00Z,25.108398
2024-01-11T04:45:00Z,25.224151
2024-01-11T05:00:00Z,25.319629
2024-01-11T05:15:00Z,25.394426
2024-01-11T05:30:00Z,25.448224
2024-01-11T05:45:00Z,25.480795
