input,target,secondary_target
92.4904,35.0309,21.4580
98.3159,38.0700,22.7366
103.3124,38.9999,
108.5606,40.6665,24.5381
114.0742,43.5149,25.3321
119.5268,45.6129,26.4877
95.4509,36.7802,21.8377
100.6481,38.1435,23.0767
106.1735,40.1440,24.2554
111.6786,42.6582,25.4344
116.6451,43.5634,26.2541
92.1909,35.7383,21.2828
97.1574,36.6726,22.8643
103.1440,39.3153,
107.9730,40.5763,24.2478
113.8267,43.1046,25.1696
119.1400,44.7420,26.7406
94.3575,36.6291,21.5720
100.1261,37.7709,22.6320
105.0060,40.2060,23.6352
110.9966,42.3607,25.3027
115.7521,43.3484,25.4972
91.2049,35.5730,21.3798
97.2077,36.8413,22.8061
102.6696,39.5161,
107.6727,40.4266,24.5134
112.9925,42.9955,24.9592
118.5598,44.3804,26.0111
93.9724,35.4970,22.1668
99.1622,38.1586,22.8662
104.7735,40.2668,23.5201
110.4119,42.1447,25.2273
115.2617,42.8798,25.6252
90.7031,34.7967,21.6760
96.4494,36.6120,22.3117
101.9980,38.9925,
107.0364,40.3619,24.1782
112.4189,41.9055,25.0542
117.8753,44.6849,26.5878
93.3271,36.1759,22.1869
98.8261,37.7920,22.7452
103.9857,39.6502,23.4219
109.7693,40.9063,24.4700
114.9063,43.5112,25.9605
90.1851,34.5588,21.2611
95.9535,36.9038,22.2821
101.3494,38.7884,
106.5135,40.2410,24.2984
112.1970,42.0226,25.2686
117.1424,43.7173,25.9401
92.5515,34.8794,21.9223
97.9969,37.7166,22.5202
103.7674,39.2468,23.9383
109.1560,41.6410,24.2792
114.4315,43.5588,25.7645
119.8401,44.2968,26.2151
95.2968,35.8831,22.2806
100.2487,38.0590,
106.2594,40.6051,24.2445
111.5995,42.2882,24.7270
116.9423,43.9011,25.8673
92.0191,34.7448,21.4184
97.4428,36.7938,22.5690
103.2673,38.8495,23.7004
108.2425,40.3811,24.1773
113.5005,42.8061,25.6096
119.1071,44.0163,26.5740
94.6576,36.4444,22.4350
100.1514,37.7708,
