input,target,secondary_target
89.6290,34.0950,21.5130
95.4592,36.5225,21.9546
100.4941,38.3988,23.5091
105.9138,40.4707,23.7958
111.6012,42.2969,24.9181
116.9142,44.3376,25.6639
92.6081,35.9011,21.9951
97.6149,37.2766,22.6231
103.1158,39.5438,
108.3290,40.5545,24.2299
114.1745,43.6343,25.1917
119.6852,45.5644,26.9055
94.8091,36.2636,22.3753
99.8863,38.0420,23.2276
105.2901,40.4935,23.6147
110.9116,42.2209,24.7666
116.6661,43.9474,25.5797
91.5749,35.6445,21.6696
97.4547,36.7441,22.8529
102.2693,39.1608,
107.6456,41.2776,24.7217
113.7055,42.5864,25.6544
118.6654,44.9525,26.2839
94.1855,36.5249,21.9336
99.2304,38.3869,22.5350
105.3171,40.0310,24.2178
110.1632,42.2479,24.9507
115.9548,43.9441,25.8189
91.4027,34.5994,21.1419
96.6292,37.1333,22.0145
102.0925,38.7189,
107.6537,41.0847,24.6726
112.8233,42.6587,25.5305
118.2820,44.7148,26.0582
93.9661,36.2080,21.6713
98.6667,37.1288,22.5864
104.6304,39.5344,23.4921
109.6846,41.9268,24.5491
114.8464,43.2426,25.3256
90.3245,34.3778,21.2899
96.3594,37.0480,22.1471
101.7138,38.7970,
106.4751,40.0785,24.0977
111.9232,42.3370,25.2730
117.7859,44.4323,26.3090
93.0967,35.4043,22.0005
98.0341,36.7641,22.9454
103.9692,39.9656,23.7431
109.3485,41.3846,24.7887
114.3021,43.3724,25.7232
90.2844,34.0750,21.2455
95.6999,36.3670,22.4903
100.5074,38.1427,
106.0136,40.5693,24.0356
111.8142,41.7283,24.8401
116.6102,43.5179,25.7076
92.5966,35.3738,21.5355
98.1491,37.2593,22.3089
103.3943,39.3700,23.9360
108.9346,40.8832,24.7786
113.7551,42.8142,25.3916
119.3286,44.5033,26.1382
94.5257,36.4449,21.6962
99.9486,37.8705,
105.6004,39.5645,23.8308
110.6420,41.6732,24.6878
116.0674,43.0031,26.0149
91.4211,34.3375,21.2605
97.3533,36.6405,22.7291
