input,target,secondary_target
93.4012,36.3953,
98.9109,37.4384,23.1692
104.5800,39.8235,23.5680
109.6829,41.8888,24.8766
115.2088,43.2215,25.4910
90.5496,35.0587,21.1440
95.8104,37.1652,21.9052
101.6188,39.1147,23.3103
106.4024,40.4442,23.8031
112.3294,42.1388,25.4039
117.5742,44.2085,25.9908
92.9883,36.1373,
98.3661,38.0024,22.4178
103.6983,39.3875,23.9554
108.8803,41.5193,24.2778
114.7972,43.5331,25.7629
89.8989,34.1614,21.0827
95.4326,36.7270,21.9539
100.4358,37.7689,22.7817
105.8768,40.0910,23.7377
111.9612,42.5756,25.1506
116.9633,44.4408,26.3653
92.3874,36.0381,
97.9427,36.8880,22.8870
102.8223,38.6193,23.3392
108.7008,40.9644,24.0875
114.3189,42.7455,25.6336
119.1780,44.2671,26.3779
94.5263,35.9799,21.8965
100.1758,37.9268,22.7949
105.5207,40.3292,23.9844
111.1770,42.4506,25.1439
116.2434,43.2529,26.0924
92.1188,35.5067,
96.9335,37.0010,22.1861
102.8501,38.8646,23.0995
107.9779,41.0734,24.3571
113.2135,42.7631,25.5677
118.5651,44.6636,26.2777
94.4807,36.3382,22.2656
99.2284,37.1865,22.6683
104.7918,40.1105,24.0523
110.0213,40.9095,24.9873
116.1590,43.7492,26.1217
91.2458,35.3402,
96.7593,36.3870,22.4759
102.3999,38.3460,23.5368
107.5317,40.6128,24.5036
112.8138,41.8603,25.0235
118.4354,44.2072,26.1311
93.8866,36.1953,22.0085
99.0953,37.1127,23.0026
104.1007,38.7798,23.6390
109.7249,41.4573,25.0492
115.0746,42.7242,25.3327
90.7473,34.2885,
96.0801,36.0302,22.6197
101.0025,38.3574,22.9018
106.7201,40.2636,23.9102
112.5915,42.5852,24.9533
117.9218,43.7170,26.1784
93.2854,35.9009,21.7102
98.4861,37.5830,22.4299
104.0018,39.2758,23.3976
109.1328,40.6337,24.8955
114.6222,42.6952,25.4341
89.7699,33.9543,
95.6574,36.3320,22.4087
100.7798,37.9633,23.0099
