input,target,secondary_target
90.8364,35.1450,21.6379
96.2508,36.6826,22.4258
101.6859,39.1702,23.3298
107.2292,41.3421,24.4573
112.2632,43.0621,24.8501
117.6661,44.7343,25.8007
93.3370,35.6046,
98.4972,37.8653,22.6752
104.3102,40.2995,23.5806
109.7197,42.1458,24.4618
115.0367,43.7266,25.7533
90.1703,35.0823,21.1285
95.5233,36.3903,22.2696
100.8906,37.9157,23.4289
106.6725,40.3893,23.7882
111.7135,42.3511,24.8874
116.9463,44.3345,25.7946
93.0178,36.0986,
97.8614,36.8328,22.5765
103.6537,38.8890,23.6256
108.5124,41.4254,24.5230
113.9984,42.5673,25.8702
119.3791,45.1727,26.6467
94.7044,35.7974,22.1652
100.3171,38.3611,22.6809
105.5797,40.3234,23.9629
110.9533,41.7283,24.5595
116.5028,44.0426,26.2064
91.8345,35.2658,
97.5179,37.6841,22.9176
103.2864,39.6860,23.3040
108.4128,41.3818,24.2317
113.7789,43.0813,25.6146
119.2344,45.0391,26.6668
94.4889,35.5103,22.2115
100.2405,37.6165,23.1705
104.9820,39.5136,23.9353
110.3342,41.2454,24.8546
116.2911,43.8625,25.9551
91.1232,35.0745,
96.6601,36.8524,22.1452
102.4096,38.4410,23.3241
107.4367,40.5210,24.7015
113.3557,42.1929,25.3009
118.7285,44.2561,26.3543
93.5799,35.9778,21.5105
99.3543,38.1228,23.0628
104.8496,39.3993,23.8034
110.3455,41.7776,24.9832
115.1227,42.9794,25.8632
91.1970,34.6147,
96.1757,36.5756,22.6802
102.0633,39.2654,22.9710
107.3124,40.7425,24.3845
112.6223,41.8691,25.4075
118.0080,44.6949,26.3180
93.0608,34.8761,21.9607
98.6963,37.8645,22.9000
104.1843,39.0833,23.7704
109.6335,41.6857,24.4809
115.1906,43.2758,25.7404
89.9242,34.1071,
95.7070,36.5086,22.0258
101.0078,38.6047,22.7829
106.4326,40.1337,23.7416
112.0544,42.0189,25.3677
116.9246,43.7035,25.9865
92.4237,35.7981,21.3586
98.0050,36.7343,22.4614
