input,target,secondary_target
94.3856,36.3156,22.3220
99.6275,38.6778,22.9803
105.0674,40.0700,24.2168
110.6563,42.3227,25.2331
116.4035,44.1720,25.5729
91.2451,35.6421,21.3299
96.8423,37.3989,22.5389
102.3202,38.6934,23.6961
107.3377,40.8959,24.6118
112.8230,42.7023,
118.1787,44.2869,26.3238
93.7824,35.5645,22.0951
98.9495,37.8121,23.2243
104.5237,40.1430,23.5280
110.3872,42.2279,24.9168
115.1758,42.9720,25.6496
90.6140,34.9033,21.3345
96.1751,37.3654,22.5124
101.9457,38.9608,23.4533
107.3473,40.5260,24.1803
112.5531,42.9051,
118.2651,44.4067,26.4153
92.9184,35.6383,21.9825
99.0063,37.9828,22.6616
104.2644,39.0838,23.6034
109.7811,41.1167,24.6164
115.2641,43.1451,26.0544
90.3747,35.1493,20.8962
95.9297,36.2979,22.5672
101.0664,38.4054,22.8752
106.6594,40.6429,24.3563
111.9585,42.0391,
117.0105,43.4507,26.1384
92.5427,35.6526,21.6697
97.8567,36.8337,22.1505
103.1937,39.5844,23.5138
108.9031,41.0002,24.6596
114.0291,43.2819,25.7047
119.3193,44.4565,26.1917
95.4630,36.4681,22.0225
100.2513,38.6020,23.3993
105.5049,40.1528,23.6182
110.9354,41.7659,
116.8792,43.6973,26.3041
91.8422,34.5148,21.1487
97.5752,37.6800,22.8240
102.9506,39.1330,23.3754
108.3741,41.4537,24.5141
113.7320,42.3264,25.1851
119.2546,44.6881,26.3073
94.8425,35.5426,22.2991
99.8026,38.1164,23.0320
105.5970,40.2241,24.1723
110.4761,41.5924,
115.9330,43.3155,25.5230
91.5142,35.1164,21.5073
96.9031,36.9387,22.6569
102.6315,39.0826,23.2935
107.5137,41.1073,24.7449
113.3986,42.2898,25.3084
118.8693,44.3889,26.6584
94.1295,36.3042,22.0441
99.4448,37.6457,22.7375
104.6377,39.1040,23.7571
110.3239,40.8858,
115.6764,42.9161,25.6670
91.1667,34.7988,21.8050
96.4168,36.8686,22.3184
101.4245,38.2627,23.3747
