observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-02T06:45:00Z,9.233,6.842,8.016,4.212
2025-03-02T07:00:00Z,8.805,6.857,7.605,3.984
2025-03-02T07:15:00Z,8.696,6.840,7.658,
2025-03-02T07:30:00Z,8.535,7.012,7.574,3.237
2025-03-02T07:45:00Z,8.187,7.101,7.203,3.054
2025-03-02T08:00:00Z,8.321,6.387,7.229,3.230
2025-03-02T08:15:00Z,7.928,6.320,6.836,3.225
2025-03-02T08:30:00Z,7.921,6.183,7.020,2.627
2025-03-02T08:45:00Z,7.785,6.191,6.727,2.964
2025-03-02T09:00:00Z,8.182,6.277,7.157,3.287
2025-03-02T09:15:00Z,7.969,6.305,7.037,2.782
2025-03-02T09:30:00Z,8.129,5.999,7.017,3.415
2025-03-02T09:45:00Z,8.072,5.440,6.942,3.247
2025-03-02T10:00:00Z,8.424,6.092,7.231,
2025-03-02T10:15:00Z,8.108,5.431,7.138,3.169
2025-03-02T10:30:00Z,8.461,5.823,7.387,3.224
2025-03-02T10:45:00Z,8.478,5.202,7.258,3.265
2025-03-02T11:00:00Z,8.602,4.991,7.386,3.730
2025-03-02T11:15:00Z,8.941,4.767,7.622,4.112
2025-03-02T11:30:00Z,9.498,5.108,7.978,4.250
2025-03-02T11:45:00Z,9.652,4.895,8.158,4.851
2025-03-02T12:00:00Z,9.577,4.887,8.209,4.402
2025-03-02T12:15:00Z,10.240,4.728,8.750,5.120
2025-03-02T12:30:00Z,10.731,4.414,8.835,5.745
2025-03-02T12:45:00Z,10.858,4.565,9.111,
2025-03-02T13:00:00Z,11.138,4.334,9.440,6.364
2025-03-02T13:15:00Z,11.245,4.591,9.484,6.432
2025-03-02T13:30:00Z,11.981,4.595,9.970,6.817
2025-03-02T13:45:00Z,12.308,4.358,10.436,7.022
2025-03-02T14:00:00Z,12.428,4.269,10.207,7.417
2025-03-02T14:15:00Z,12.580,4.463,10.375,7.637
2025-03-02T14:30:00Z,12.980,3.959,10.754,8.183
2025-03-02T14:45:00Z,13.483,3.759,11.289,8.568
2025-03-02T15:00:00Z,13.598,3.893,11.299,8.885
2025-03-02T15:15:00Z,13.688,4.408,11.463,8.904
2025-03-02T15:30:00Z,14.164,3.784,11.709,
2025-03-02T15:45:00Z,14.329,3.916,11.806,9.622
2025-03-02T16:00:00Z,14.714,4.362,12.308,9.753
2025-03-02T16:15:00Z,14.821,4.134,12.140,9.903
2025-03-02T16:30:00Z,14.946,4.341,12.231,9.789
2025-03-02T16:45:00Z,15.175,4.233,12.411,9.979
