timestamp,value
2024-01-09T18:00:00Z,15.420000
2024-01-09T18:15:00Z,15.431205
2024-01-09T18:30:00Z,15.463776
2024-01-09T18:45:00Z,15.517574
2024-01-09T19:00:00Z,15.592371
2024-01-09T19:15:00Z,15.687849
2024-01-09T19:30:00Z,15.803602
2024-01-09T19:45:00Z,15.939136
2024-01-09T20:00:00Z,16.093873
2024-01-09T20:15:00Z,16.267152
2024-01-09T20:30:00Z,16.458233
2024-01-09T20:45:00Z,16.666301
2024-01-09T21:00:00Z,16.890466
2024-01-09T21:15:00Z,17.129771
2024-01-09T21:30:00Z,17.383193
2024-01-09T21:45:00Z,17.649649
2024-01-09T22:00:00Z,17.928000
2024-01-09T22:15:00Z,18.217057
2024-01-09T22:30:00Z,18.515583
2024-01-09T22:45:00Z,18.822303
2024-01-09T23:00:00Z,19.135905
2024-01-09T23:15:00Z,19.455048
2024-01-09T23:30:00Z,19.778369
2024-01-09T23:45:00Z,20.104484
