observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-01T20:30:00Z,14.321,6.226,12.024,9.280
2025-03-01T20:45:00Z,14.109,6.126,12.089,8.818
2025-03-01T21:00:00Z,14.443,6.425,12.241,9.169
2025-03-01T21:15:00Z,14.610,6.953,12.294,9.808
2025-03-01T21:30:00Z,15.360,6.853,12.889,10.374
2025-03-01T21:45:00Z,15.084,6.921,12.576,10.125
2025-03-01T22:00:00Z,15.546,6.866,13.084,10.426
2025-03-01T22:15:00Z,15.920,6.912,13.241,10.689
2025-03-01T22:30:00Z,15.558,7.401,13.233,10.383
2025-03-01T22:45:00Z,15.974,6.852,13.472,11.230
2025-03-01T23:00:00Z,15.982,7.212,13.400,
2025-03-01T23:15:00Z,16.124,7.504,13.643,10.969
2025-03-01T23:30:00Z,16.253,7.675,13.963,11.187
2025-03-01T23:45:00Z,15.982,7.257,13.610,10.732
2025-03-02T00:00:00Z,15.681,7.438,13.370,10.527
2025-03-02T00:15:00Z,15.719,8.028,13.502,10.693
2025-03-02T00:30:00Z,15.940,7.985,13.485,10.922
2025-03-02T00:45:00Z,15.394,7.492,12.972,10.329
2025-03-02T01:00:00Z,15.520,7.839,13.011,10.242
2025-03-02T01:15:00Z,15.420,8.070,13.010,10.543
2025-03-02T01:30:00Z,15.214,7.814,13.070,10.505
2025-03-02T01:45:00Z,14.946,7.936,12.753,
2025-03-02T02:00:00Z,14.752,7.672,12.699,9.475
2025-03-02T02:15:00Z,14.250,7.813,11.985,9.298
2025-03-02T02:30:00Z,14.471,8.354,12.240,9.614
2025-03-02T02:45:00Z,13.656,7.945,11.528,8.390
2025-03-02T03:00:00Z,13.794,8.068,11.648,8.669
2025-03-02T03:15:00Z,13.508,8.369,11.687,8.326
2025-03-02T03:30:00Z,12.939,7.942,11.221,7.695
2025-03-02T03:45:00Z,12.754,7.669,11.023,7.505
2025-03-02T04:00:00Z,12.175,7.525,10.361,6.975
2025-03-02T04:15:00Z,11.768,8.243,10.287,6.578
2025-03-02T04:30:00Z,11.826,7.939,10.236,
2025-03-02T04:45:00Z,11.272,8.080,9.999,6.271
2025-03-02T05:00:00Z,10.917,7.968,9.496,6.126
2025-03-02T05:15:00Z,10.774,7.999,9.616,5.776
2025-03-02T05:30:00Z,10.477,7.554,9.146,5.467
2025-03-02T05:45:00Z,9.941,7.382,8.568,5.185
2025-03-02T06:00:00Z,9.708,7.826,8.377,4.709
2025-03-02T06:15:00Z,9.739,7.013,8.656,4.442
2025-03-02T06:30:00Z,9.202,7.131,8.079,4.310
