observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-03T03:15:00Z,8.324,8.121,7.541,3.376
2025-03-03T03:30:00Z,7.861,8.100,7.035,2.604
2025-03-03T03:45:00Z,8.275,8.221,7.415,3.001
2025-03-03T04:00:00Z,7.707,8.271,6.865,2.462
2025-03-03T04:15:00Z,7.779,8.256,6.867,2.880
2025-03-03T04:30:00Z,7.843,8.030,7.106,2.938
2025-03-03T04:45:00Z,8.409,7.872,7.603,3.587
2025-03-03T05:00:00Z,8.465,8.191,7.777,3.327
2025-03-03T05:15:00Z,8.292,8.366,7.614,
2025-03-03T05:30:00Z,8.425,8.158,7.540,3.178
2025-03-03T05:45:00Z,8.594,8.065,7.768,3.656
2025-03-03T06:00:00Z,8.799,7.605,7.942,3.828
2025-03-03T06:15:00Z,9.229,7.761,7.980,4.256
2025-03-03T06:30:00Z,9.699,7.808,8.621,4.811
2025-03-03T06:45:00Z,9.597,7.658,8.543,4.657
2025-03-03T07:00:00Z,10.212,7.760,8.912,5.125
2025-03-03T07:15:00Z,10.083,8.168,8.989,5.148
2025-03-03T07:30:00Z,10.908,7.440,9.385,6.059
2025-03-03T07:45:00Z,11.056,7.493,9.734,5.803
2025-03-03T08:00:00Z,11.500,7.319,9.767,
2025-03-03T08:15:00Z,11.556,7.353,9.958,6.319
2025-03-03T08:30:00Z,11.642,7.305,10.067,6.840
2025-03-03T08:45:00Z,12.163,7.107,10.371,7.450
2025-03-03T09:00:00Z,12.583,7.452,10.916,7.594
2025-03-03T09:15:00Z,13.028,7.292,11.140,8.244
2025-03-03T09:30:00Z,13.494,7.426,11.363,8.463
2025-03-03T09:45:00Z,13.677,7.165,11.566,8.853
2025-03-03T10:00:00Z,13.764,6.568,11.600,8.475
2025-03-03T10:15:00Z,14.026,7.080,11.817,9.008
2025-03-03T10:30:00Z,14.608,6.978,12.429,9.334
2025-03-03T10:45:00Z,14.945,6.340,12.413,
2025-03-03T11:00:00Z,14.788,6.468,12.475,9.591
2025-03-03T11:15:00Z,14.860,6.292,12.626,10.100
2025-03-03T11:30:00Z,15.253,6.179,12.758,10.423
2025-03-03T11:45:00Z,15.377,6.121,12.783,10.441
2025-03-03T12:00:00Z,15.687,6.039,13.257,10.459
2025-03-03T12:15:00Z,15.837,5.852,13.136,10.641
2025-03-03T12:30:00Z,16.087,5.598,13.427,11.041
2025-03-03T12:45:00Z,15.648,5.738,12.934,10.562
2025-03-03T13:00:00Z,16.031,5.752,13.278,11.064
2025-03-03T13:15:00Z,16.081,5.674,13.614,10.861
