material,finish,region,target
oak,matte,east,0
oak,satin,north,0
steel,satin,north,1
pine,matte,east,0
pine,satin,north,0
steel,satin,east,1
cedar,satin,north,0
steel,satin,north,1
iron,satin,west,1
pine,matte,west,0
oak,satin,west,0
iron,gloss,east,0
cedar,satin,west,0
oak,satin,south,0
pine,gloss,south,1
oak,gloss,east,1
copper,satin,south,1
copper,gloss,north,0
copper,matte,south,1
pine,gloss,south,1
oak,satin,south,0
cedar,satin,south,0
iron,gloss,north,0
steel,satin,south,1
copper,satin,north,1
steel,satin,east,1
pine,gloss,west,1
steel,gloss,north,0
copper,matte,west,1
steel,matte,west,1
iron,matte,south,1
brass,satin,north,1
brass,satin,north,1
cedar,gloss,south,1
oak,gloss,east,1
cedar,gloss,south,1
steel,satin,north,1
glass,satin,north,0
steel,gloss,west,0
copper,matte,east,1
brass,matte,south,1
iron,satin,south,1
steel,satin,east,1
iron,gloss,south,0
cedar,matte,south,0
pine,satin,east,0
brass,matte,south,1
oak,satin,west,0
pine,matte,east,0
brass,satin,north,1
copper,satin,east,1
pine,matte,east,0
brass,matte,west,1
copper,satin,north,1
steel,gloss,south,0
cedar,gloss,north,1
steel,gloss,south,0
steel,gloss,north,0
glass,matte,south,0
pine,matte,south,0
pine,satin,north,0
cedar,matte,east,0
oak,matte,east,0
copper,gloss,north,0
brass,matte,west,1
cedar,satin,north,0
pine,satin,south,0
pine,matte,north,0
copper,gloss,south,0
copper,satin,north,1
copper,satin,south,1
steel,satin,north,1
steel,gloss,north,0
oak,satin,north,0
cedar,matte,west,0
cedar,satin,south,0
iron,gloss,east,0
pine,satin,north,0
copper,matte,west,1
iron,gloss,west,0
iron,matte,west,1
glass,matte,west,0
oak,gloss,north,1
brass,gloss,south,0
cedar,gloss,south,1
steel,satin,west,1
glass,matte,east,0
copper,satin,south,1
