material,finish,region,target
brass,gloss,south,0
copper,gloss,north,0
copper,gloss,east,0
cedar,gloss,west,1
steel,matte,north,1
glass,matte,north,0
brass,gloss,north,0
steel,satin,north,1
brass,satin,north,1
copper,satin,east,1
glass,gloss,north,1
brass,gloss,north,0
pine,satin,north,0
copper,gloss,west,0
copper,satin,south,1
oak,satin,north,0
steel,matte,east,1
glass,gloss,south,1
copper,matte,north,1
iron,satin,north,1
oak,satin,south,0
oak,satin,south,0
glass,satin,north,0
oak,satin,south,0
brass,matte,west,1
copper,matte,east,1
pine,gloss,west,1
copper,gloss,east,0
brass,satin,south,1
copper,matte,north,1
copper,satin,west,1
oak,matte,north,0
iron,gloss,west,0
steel,matte,south,1
brass,satin,north,1
glass,gloss,west,1
brass,satin,west,1
cedar,matte,west,0
copper,gloss,east,0
glass,matte,south,0
glass,matte,east,0
brass,satin,south,1
brass,matte,north,1
steel,gloss,west,0
copper,satin,north,1
cedar,gloss,east,1
oak,gloss,west,1
steel,matte,north,1
brass,gloss,east,0
iron,satin,north,1
pine,matte,west,0
steel,matte,east,1
pine,matte,east,0
brass,satin,south,1
cedar,satin,north,0
cedar,matte,west,0
pine,satin,north,0
glass,satin,north,0
oak,matte,west,0
steel,gloss,north,0
cedar,matte,south,0
cedar,satin,east,0
steel,satin,north,1
glass,satin,north,0
steel,gloss,east,0
cedar,satin,south,0
cedar,gloss,east,1
cedar,satin,north,0
cedar,gloss,east,1
cedar,satin,north,0
pine,matte,north,0
iron,matte,south,1
copper,satin,east,1
oak,matte,west,0
cedar,satin,west,0
iron,satin,north,1
iron,gloss,north,0
iron,matte,south,1
cedar,matte,north,0
steel,gloss,north,0
oak,satin,north,0
brass,gloss,north,0
iron,gloss,south,0
pine,gloss,south,1
oak,satin,west,0
oak,matte,north,0
glass,gloss,west,1
glass,matte,south,0
