material,finish,region,target
pine,satin,north,0
oak,satin,south,0
brass,gloss,west,0
brass,gloss,south,0
iron,gloss,south,0
copper,gloss,east,0
cedar,satin,south,0
glass,matte,west,0
pine,gloss,south,1
copper,satin,east,1
glass,gloss,south,1
steel,gloss,east,0
pine,matte,west,0
glass,gloss,west,1
oak,matte,south,0
cedar,matte,south,0
copper,gloss,south,0
cedar,satin,north,0
brass,matte,south,1
cedar,satin,north,0
copper,gloss,south,0
steel,matte,east,1
cedar,matte,south,0
pine,satin,west,0
copper,matte,south,1
copper,matte,west,1
oak,gloss,south,1
oak,satin,west,0
cedar,satin,west,0
oak,gloss,south,1
copper,matte,west,1
brass,matte,east,1
pine,matte,north,0
steel,gloss,west,0
copper,gloss,north,0
pine,matte,north,0
oak,satin,west,0
pine,gloss,south,1
cedar,gloss,north,1
cedar,matte,west,0
pine,gloss,west,1
cedar,satin,west,0
brass,satin,north,1
brass,satin,west,1
iron,satin,east,1
pine,matte,west,0
cedar,matte,east,0
cedar,gloss,west,1
brass,gloss,east,0
iron,gloss,south,0
cedar,satin,south,0
steel,satin,west,1
pine,matte,south,0
glass,satin,south,0
glass,matte,south,0
iron,satin,north,1
cedar,satin,north,0
oak,gloss,south,1
brass,matte,west,1
glass,gloss,south,1
pine,gloss,west,1
oak,gloss,east,1
copper,satin,west,1
pine,matte,north,0
iron,satin,east,1
cedar,satin,west,0
cedar,gloss,south,1
pine,matte,west,0
glass,gloss,west,1
iron,matte,west,1
glass,gloss,north,1
glass,satin,north,0
brass,gloss,south,0
copper,matte,south,1
oak,gloss,south,1
pine,gloss,north,1
pine,satin,east,0
pine,satin,west,0
cedar,gloss,east,1
oak,gloss,west,1
pine,matte,west,0
glass,gloss,south,1
brass,satin,north,1
cedar,matte,south,0
pine,satin,east,0
oak,matte,east,0
steel,satin,west,1
cedar,gloss,south,1
