material,finish,region,target
iron,satin,south,1
steel,satin,north,1
copper,gloss,west,0
glass,matte,east,0
pine,gloss,south,1
iron,satin,west,1
copper,matte,west,1
cedar,gloss,north,1
oak,matte,east,0
oak,gloss,west,1
brass,matte,east,1
glass,matte,west,0
brass,matte,west,1
brass,matte,west,1
oak,satin,south,0
glass,satin,south,0
iron,matte,west,1
pine,matte,east,0
brass,satin,north,1
cedar,matte,west,0
steel,satin,west,1
brass,gloss,east,0
iron,matte,west,1
glass,satin,south,0
oak,matte,south,0
steel,satin,north,1
pine,matte,south,0
oak,satin,east,0
steel,gloss,west,0
glass,gloss,west,1
glass,matte,west,0
brass,matte,east,1
copper,gloss,north,0
brass,satin,west,1
iron,matte,east,1
oak,matte,west,0
copper,matte,west,1
glass,matte,east,0
iron,satin,east,1
steel,satin,north,1
steel,gloss,east,0
copper,satin,south,1
steel,satin,north,1
oak,matte,east,0
steel,matte,east,1
brass,gloss,west,0
oak,satin,east,0
oak,satin,north,0
iron,matte,west,1
cedar,satin,west,0
copper,matte,west,1
steel,satin,east,1
iron,satin,north,1
glass,satin,north,0
glass,gloss,east,1
cedar,matte,south,0
cedar,matte,east,0
iron,satin,south,1
cedar,matte,north,0
iron,matte,west,1
pine,gloss,south,1
oak,matte,north,0
pine,satin,west,0
cedar,satin,east,0
brass,satin,south,1
steel,satin,west,1
iron,satin,west,1
steel,matte,east,1
steel,matte,north,1
iron,satin,east,1
oak,gloss,south,1
cedar,gloss,south,1
brass,gloss,north,0
oak,matte,west,0
copper,satin,east,1
cedar,gloss,west,1
cedar,matte,north,0
pine,gloss,east,1
glass,gloss,east,1
steel,matte,west,1
brass,matte,south,1
steel,matte,north,1
pine,satin,east,0
brass,satin,east,1
copper,matte,south,1
steel,satin,east,1
steel,satin,east,1
steel,satin,north,1
